# RQD de Deere: porcentaje del metraje en tramos continuos de 10 cm o más sin discontinuidad, con la discontinuidad detectada por DI > 1.5.
# Indicador AGREGADO por pozo y por caserón, orientado a tronadura. No reemplaza al DI, que sigue siendo la variable de trabajo punto a punto en el resto del pipeline.
# pozos no evaluables: 3
# generado: 2026-08-26 04:24
nivel,clave,caseron,rqd_mwd,largo_m,n_tramos_validos,n_tramos_descartados
pozo,PCC_0042_PR01_TH_P31_H5,PCC_0042,87.85,33.468,9.0,3.0
pozo,PCC_0042_PR01_TH_P31_H6,PCC_0042,89.22,34.286,12.0,3.0
pozo,PCC_0042_PR01_TH_P31_H7,PCC_0042,91.12,34.256,10.0,4.0
pozo,PCC_0042_PR01_TH_P31_H8,PCC_0042,89.61,34.255,13.0,4.0
pozo,PCC_0042_PR01_TH_P31_H9,PCC_0042,95.99,34.257,6.0,0.0
pozo,PCC_0042_PR01_TH_P32_H10,PCC_0042,89.68,34.174,15.0,2.0
pozo,PCC_0042_PR01_TH_P32_H11,PCC_0042,86.94,34.919,13.0,4.0
pozo,PCC_0042_PR01_TH_P32_H12,PCC_0042,94.38,35.376,8.0,1.0
pozo,PCC_0042_PR01_TH_P32_H13,PCC_0042,94.15,36.319,6.0,2.0
pozo,PCC_0042_PR01_TH_P32_H14,PCC_0042,93.03,29.98,12.0,1.0
